Name,Points,100m,Long_Jump,Shot_Put,High_Jump,400m,110m_Hurdles,Discus,Pole_Vault,Javelin,1500m,Event_URL
Tomaš Dvorak,8690,10.75,7.76,16.63,2.07,49.1,13.95,50.17,4.4,70.55,280.97,https://www.decathlon2000.com/741/talence-1999/
Erki Nool,8664,10.79,7.93,14.18,1.98,47.35,14.58,44.47,5.5,68.84,284.51,https://www.decathlon2000.com/741/talence-1999/
Roman Šebrle,8231,10.93,7.66,14.56,2.07,48.78,14.75,44.17,4.6,64.74,285.17,https://www.decathlon2000.com/741/talence-1999/
Indrek Kaseorg,8059,11.45,7.2,14.24,1.98,49.37,14.56,43.26,4.9,66.58,275.1,https://www.decathlon2000.com/741/talence-1999/
Henrik Dagard,7994,10.92,7.02,14.02,1.89,48.21,14.35,42.44,5.0,64.82,293.29,https://www.decathlon2000.com/741/talence-1999/
Laurent Hernu,7937,11.38,7.26,13.71,2.04,50.06,14.31,42.88,4.9,56.07,276.48,https://www.decathlon2000.com/741/talence-1999/
Wilfrid Boulineau,7864,11.2,7.34,13.42,1.92,50.09,14.75,40.94,4.0,62.13,281.1,https://www.decathlon2000.com/741/talence-1999/
Zsolt Kürtösi,7815,11.38,7.05,15.12,1.95,49.59,14.64,45.08,4.0,58.4,288.69,https://www.decathlon2000.com/741/talence-1999/
Jörg Goedicke,7787,11.2,6.98,14.24,2.04,50.81,14.66,42.08,4.0,54.91,288.07,https://www.decathlon2000.com/741/talence-1999/
Dan Steele,7757,11.03,6.66,13.57,1.89,48.16,14.77,48.36,4.0,63.24,293.14,https://www.decathlon2000.com/741/talence-1999/
Gaetan Blouin,7667,11.23,6.89,12.11,2.04,50.1,14.81,38.95,4.8,58.09,271.97,https://www.decathlon2000.com/741/talence-1999/
Brian Brophy,7538,11.52,7.08,16.03,1.92,52.56,15.3,51.58,4.8,52.3,313.56,https://www.decathlon2000.com/741/talence-1999/
Tomaš Dvorak,8733,10.75,7.58,16.14,1.95,48.07,13.93,49.22,4.9,69.37,270.83,https://www.decathlon2000.com/742/talence-2000/
